artist,track,album,album_type,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,stream,duration_min,is_feat
Olivia,Are U Capable - Dirty Radio Edit,Olivia,album,0.824,0.505,11,-6.516,0.277,0.0044,1e-06,0.0919,0.658,94.964,111024,3.1371166666666666,0
Olivia,It's On Again,Olivia,album,0.601,0.397,9,-9.153,0.029,0.157,3.32e-06,0.0679,0.155,133.803,79473,4.59445,0
Akhil,"Duniyaa (From ""Luka Chuppi"")","Duniyaa (From ""Luka Chuppi"")",single,0.435,0.658,7,-5.949,0.0368,0.699,0.0,0.125,0.524,77.17,157346160,3.70835,0
Akhil,Khaab,Khaab,single,0.662,0.661,0,-5.689,0.0514,0.417,0.0,0.0784,0.222,80.009,79032405,3.361483333333333,0
Akhil,Bachalo,Bachalo,single,0.756,0.538,1,-6.625,0.0485,0.654,0.0,0.172,0.516,92.023,26187628,2.7518166666666666,0
Akhil,Kalla Sohna Nai,Kalla Sohna Nai,single,0.802,0.499,9,-5.881,0.0345,0.454,0.0,0.143,0.763,92.055,34928088,2.6102333333333334,0
Akhil,Deewana,Deewana,single,0.544,0.531,11,-6.899,0.0397,0.761,0.0,0.115,0.471,79.993,12478646,3.684066666666667,0
Akhil,Duniyaa Lofi Mix,Duniyaa Lofi Mix,single,0.641,0.68,7,-7.0,0.0453,0.487,1.89e-05,0.314,0.43,85.031,1670944,3.3514166666666667,0
Akhil,Rukh,Triple Aaa,album,0.818,0.673,0,-4.842,0.0377,0.515,0.0,0.0757,0.414,120.021,7519586,3.3967833333333335,0
Akhil,Paagla,Paagla,single,0.581,0.499,5,-7.889,0.0412,0.815,0.0,0.115,0.383,87.954,5143059,3.7297333333333333,0
Akhil,Supne,Supne,single,0.697,0.666,0,-8.215,0.0542,0.0286,0.0,0.0566,0.653,80.006,4455737,3.825633333333333,0
Misfits,Last Caress - C.I. Recording 1978,The Misfits Box Set,album,0.33,0.906,0,-9.607,0.0513,0.533,0.0208,0.15,0.418,91.186,66902959,1.9513333333333334,0
Misfits,Saturday Night,Famous Monsters,album,0.455,0.909,1,-5.266,0.0829,0.000229,0.0,0.0934,0.262,129.801,35687420,3.468383333333333,0
Misfits,Helena,Famous Monsters,album,0.275,0.872,10,-6.108,0.142,0.000204,0.00509,0.0895,0.412,147.014,26756287,3.3324,0
Misfits,Dig Up Her Bones,American Psycho,album,0.523,0.991,10,-4.718,0.0985,0.00292,1.4e-05,0.13,0.167,111.086,39811181,3.0248833333333334,0
Misfits,Some Kinda Hate - C.I. Recording 1978,The Misfits Box Set,album,0.42,0.944,0,-9.296,0.0491,0.0599,0.74,0.101,0.323,151.261,12450113,2.0262166666666666,0
Seal,Kiss from a Rose,Seal,album,0.584,0.533,10,-7.11,0.0305,0.684,0.0,0.306,0.224,131.745,342900434,4.8071166666666665,0
Seal,Stand by Me,Soul,album,0.734,0.409,9,-7.596,0.028,0.246,0.0,0.128,0.779,107.453,37959762,4.062883333333334,0
Seal,Santa Claus Is Coming To Town,Santa Claus Is Coming To Town,single,0.44,0.556,0,-5.839,0.0356,0.526,0.0,0.143,0.591,141.63,8057545,2.2786833333333334,0
Seal,Crazy (Single Mix) - 2022 Remaster,Seal (Deluxe Edition),album,0.642,0.791,4,-8.516,0.0414,0.44,0.0648,0.233,0.908,102.881,27546216,4.49445,0
Seal,My Funny Valentine,Standards (Deluxe),album,0.346,0.22,0,-10.502,0.0386,0.875,0.000254,0.123,0.234,141.017,16531424,4.53475,0
Seal,It's a Man's Man's Man's World,Soul,album,0.482,0.532,1,-4.677,0.0446,0.475,2.44e-05,0.194,0.398,161.896,15115429,3.8842166666666667,0
Seal,Love's Divine,Seal IV,album,0.577,0.527,6,-9.21,0.0374,0.563,0.000191,0.114,0.228,96.101,20648951,4.566666666666666,0
Huey Lewis & The News,Hip To Be Square,Fore!,album,0.668,0.779,9,-11.089,0.0325,0.0025,0.000347,0.139,0.963,140.873,94002427,4.091116666666666,0
Huey Lewis & The News,Stuck With You,Fore!,album,0.704,0.544,4,-11.402,0.026,0.0873,1.66e-05,0.041,0.628,120.717,71691772,4.492883333333333,0
Huey Lewis & The News,Do You Believe In Love,Picture This,album,0.547,0.636,11,-10.948,0.0314,0.0582,0.0,0.249,0.816,114.061,39398952,3.4833333333333334,0
Huey Lewis & The News,If This Is It,Sports,album,0.376,0.667,7,-7.407,0.0356,0.209,1.5e-06,0.317,0.844,108.177,28638899,3.886,0
Huey Lewis & The News,Heart And Soul,Sports,album,0.66,0.806,2,-8.01,0.0324,0.00332,1.4e-05,0.0986,0.944,122.041,21979992,4.220883333333333,0
Huey Lewis & The News,The Heart Of Rock And Roll,Sports,album,0.594,0.756,10,-8.82,0.0379,0.0316,0.000102,0.222,0.956,143.301,29641333,5.082,0
Huey Lewis & The News,I Want A New Drug,Sports,album,0.651,0.861,2,-7.87,0.0611,0.0907,0.000206,0.329,0.709,110.292,9134614,4.763333333333334,0
I Monster,Who Is She ?,Neveroddoreven,album,0.392,0.802,1,-4.014,0.0418,0.076,0.00908,0.0925,0.101,152.734,59844891,3.556216666666667,0
I Monster,Daydream In Blue,Neveroddoreven,album,0.547,0.508,5,-6.301,0.0273,0.0151,0.00116,0.116,0.382,153.822,35411931,3.7277833333333334,0
I Monster,Lust for a Vampyr,A Dense Swarm of Ancient Stars,album,0.588,0.503,1,-12.58,0.0305,0.00143,0.187,0.417,0.395,95.734,2443275,4.55845,0
I Monster,Daydream in Blue - BBC Radio 2 Session,Dear John EP,single,0.849,0.178,5,-14.839,0.0619,0.236,0.459,0.0756,0.317,135.335,14517768,3.97895,0
I Monster,Everyone's A Loser,Neveroddoreven,album,0.639,0.876,5,-6.074,0.0577,0.126,0.779,0.368,0.965,156.67,5083142,3.2613333333333334,0
I Monster,Heaven,Neveroddoreven,album,0.41,0.656,9,-6.97,0.0316,0.523,0.000342,0.103,0.0871,79.989,5367157,3.957333333333333,0
I Monster,The Blue Wrath,Remixed,album,0.848,0.689,4,-5.618,0.0422,0.635,0.799,0.144,0.982,102.1,3040501,1.5448833333333334,0
I Monster,Sunny Delights,Neveroddoreven,album,0.597,0.811,9,-8.012,0.0286,0.0465,0.593,0.764,0.327,95.997,857086,4.836,0
I Monster,Daydream in Blue - Acoustic,Daydream in Blue (Acoustic),single,0.847,0.464,5,-7.059,0.0352,0.606,0.774,0.0844,0.352,135.226,4143685,3.9941833333333334,0
Sub Focus,Ready To Fly - Sub Focus & Dimension,Ready To Fly (Sub Focus & Dimension),single,0.485,0.969,8,-0.517,0.0561,0.0485,0.664,0.192,0.448,173.941,10258035,3.408333333333333,0
Sub Focus,Off The Ground,Off The Ground,single,0.582,0.791,0,-3.643,0.0427,0.0296,0.105,0.118,0.0422,174.01,11616070,4.045833333333333,0
Sub Focus,Solar System,Solar System / Siren,single,0.544,0.942,5,-2.552,0.0464,0.0355,0.435,0.631,0.303,173.97,44491670,4.8,0
