,Artist,Track,Album,Album_type,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Stream
15874,WALK THE MOON,Kamikaze,What If Nothing,album,0.575,0.694,1.0,-5.674,0.0709,0.0158,0.0,0.108,0.442,77.537,196533.0,46046714.0
15875,WALK THE MOON,Ghostbusters,Ghostbusters (Original Motion Picture Soundtrack) [2016],compilation,0.693,0.887,10.0,-3.572,0.0378,0.00905,0.000118,0.777,0.656,116.502,224680.0,26543628.0
15876,WALK THE MOON,Tightrope,Walk The Moon,album,0.467,0.794,1.0,-6.174,0.0349,8.39e-05,0.00204,0.103,0.589,162.435,209187.0,48966092.0
15877,WALK THE MOON,Avalanche,TALKING IS HARD,album,0.594,0.858,9.0,-4.339,0.0387,0.00059,3.11e-06,0.0642,0.663,138.021,218720.0,36086635.0
15878,Vince Staples,THE BEACH,RAMONA PARK BROKE MY HEART,album,0.593,0.947,4.0,-6.206,0.631,0.888,0.0,0.823,0.682,157.85,67210.0,10622836.0
15879,Vince Staples,Norf Norf,Summertime '06,album,0.925,0.549,7.0,-6.572,0.0656,0.396,0.000154,0.11,0.0904,100.014,183160.0,179097153.0
15880,Vince Staples,"Yo Love - From ""Queen & Slim: The Soundtrack""","Yo Love (From ""Queen & Slim: The Soundtrack"")",single,0.703,0.573,0.0,-9.032,0.0724,0.565,3.13e-06,0.0987,0.491,147.038,143830.0,78143266.0
15881,Vince Staples,ARE YOU WITH THAT?,Vince Staples,album,0.859,0.423,1.0,-10.698,0.283,0.543,0.0,0.104,0.563,125.89,138410.0,40299375.0
15882,Vince Staples,WHEN SPARKS FLY,RAMONA PARK BROKE MY HEART,album,0.699,0.782,2.0,-5.538,0.124,0.00664,0.000517,0.182,0.227,161.721,227873.0,10670391.0
15883,Vince Staples,&burn (with Vince Staples),&burn (with Vince Staples),single,0.776,0.379,9.0,-9.351,0.331,0.213,0.00175,0.0969,0.346,82.531,179016.0,208847367.0
15884,Vince Staples,Home,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),compilation,0.604,0.736,10.0,-5.596,0.0555,0.00608,0.109,0.11,0.345,118.012,211360.0,68722902.0
15885,Vince Staples,MAGIC,RAMONA PARK BROKE MY HEART,album,0.743,0.601,4.0,-6.684,0.181,0.272,9.65e-05,0.496,0.284,89.97,226006.0,22292573.0
15886,Vince Staples,Big Fish,Big Fish Theory,album,0.898,0.547,3.0,-5.707,0.313,0.484,1.04e-05,0.37,0.763,100.01,198133.0,93061100.0
15887,Vince Staples,Opps (with Yugen Blakrok),Black Panther The Album Music From And Inspired By,album,0.706,0.775,1.0,-6.819,0.335,0.152,3.32e-05,0.416,0.847,127.929,180893.0,79537658.0
15888,Ronnie Flex,Love Song,Love Song,single,0.752,0.599,5.0,-7.853,0.0537,0.391,0.0,0.242,0.529,123.046,181915.0,5521228.0
15889,Ronnie Flex,Adrenaline,Adrenaline,single,0.741,0.727,7.0,-4.835,0.155,0.0231,0.0,0.121,0.716,150.061,148721.0,21368309.0
15890,Ronnie Flex,Drank & Drugs,New Wave,compilation,0.923,0.742,11.0,-5.047,0.0495,0.0494,1.79e-05,0.0829,0.784,120.038,145978.0,100360853.0
15891,Ronnie Flex,Energie,Rémi,album,0.848,0.598,11.0,-7.087,0.214,0.102,0.0,0.151,0.678,100.001,165534.0,77005702.0
15892,Ronnie Flex,Terug Bij Af ft. Ronnie Flex,FLEMMING,album,0.812,0.496,6.0,-7.175,0.0597,0.0147,0.0,0.278,0.735,114.991,186700.0,9901751.0
15893,Ronnie Flex,Amazin' - Remix,Amazin’ (Remix),single,0.898,0.599,8.0,-5.312,0.0841,0.0817,0.0143,0.103,0.577,100.008,175250.0,7056669.0
15894,Ronnie Flex,Stoff und Schnaps,WG Party 2021,compilation,0.941,0.807,11.0,-4.588,0.0564,0.0506,0.0,0.0833,0.761,120.041,146000.0,64572846.0
15895,Ronnie Flex,Investeren In De Liefde,New Wave,compilation,0.838,0.881,7.0,-7.025,0.0445,0.298,0.0,0.202,0.965,119.997,177339.0,43104542.0
15896,Ronnie Flex,100 SMSjes,100 SMSjes,single,0.785,0.656,2.0,-5.719,0.0798,0.0299,0.0,0.237,0.652,130.009,151028.0,13299263.0
15897,Ronnie Flex,In De Schuur,Lars,album,0.776,0.686,10.0,-6.932,0.0458,0.124,0.0,0.123,0.88,139.969,181732.0,40546255.0
